image_path,target
../dataset/train/G/G39.jpg,6.0
../dataset/train/G/G1545.jpg,6.0
../dataset/train/G/G1040.jpg,6.0
../dataset/train/G/G614.jpg,6.0
../dataset/train/G/G312.jpg,6.0
../dataset/train/G/G1325.jpg,6.0
../dataset/train/G/G328.jpg,6.0
../dataset/train/G/G75.jpg,6.0
../dataset/train/G/G1659.jpg,6.0
../dataset/train/G/G288.jpg,6.0
../dataset/train/G/G1230.jpg,6.0
../dataset/train/G/G187.jpg,6.0
../dataset/train/G/G2641.jpg,6.0
../dataset/train/G/G1196.jpg,6.0
../dataset/train/G/G2889.jpg,6.0
../dataset/train/G/G111.jpg,6.0
../dataset/train/G/G2786.jpg,6.0
../dataset/train/G/G1073.jpg,6.0
../dataset/train/G/G2129.jpg,6.0
../dataset/train/G/G13.jpg,6.0
../dataset/train/G/G1408.jpg,6.0
../dataset/train/G/G1920.jpg,6.0
../dataset/train/G/G2073.jpg,6.0
../dataset/train/G/G1402.jpg,6.0
../dataset/train/G/G368.jpg,6.0
../dataset/train/G/G2991.jpg,6.0
../dataset/train/G/G2270.jpg,6.0
../dataset/train/G/G685.jpg,6.0
../dataset/train/G/G331.jpg,6.0
../dataset/train/G/G2438.jpg,6.0
../dataset/train/G/G1808.jpg,6.0
../dataset/train/G/G1109.jpg,6.0
../dataset/train/G/G347.jpg,6.0
../dataset/train/G/G1758.jpg,6.0
../dataset/train/G/G2214.jpg,6.0
../dataset/train/G/G1039.jpg,6.0
../dataset/train/G/G2325.jpg,6.0
../dataset/train/G/G495.jpg,6.0
../dataset/train/G/G2469.jpg,6.0
../dataset/train/G/G549.jpg,6.0
../dataset/train/G/G1621.jpg,6.0
../dataset/train/G/G1504.jpg,6.0
../dataset/train/G/G1075.jpg,6.0
../dataset/train/G/G1342.jpg,6.0
../dataset/train/G/G575.jpg,6.0
../dataset/train/G/G322.jpg,6.0
../dataset/train/G/G2154.jpg,6.0
../dataset/train/G/G96.jpg,6.0
../dataset/train/G/G1441.jpg,6.0
../dataset/train/G/G79.jpg,6.0
../dataset/train/G/G624.jpg,6.0
../dataset/train/G/G867.jpg,6.0
../dataset/train/G/G369.jpg,6.0
../dataset/train/G/G446.jpg,6.0
../dataset/train/G/G2504.jpg,6.0
../dataset/train/G/G1693.jpg,6.0
../dataset/train/G/G1855.jpg,6.0
../dataset/train/G/G739.jpg,6.0
../dataset/train/G/G2163.jpg,6.0
../dataset/train/G/G2110.jpg,6.0
../dataset/train/G/G1432.jpg,6.0
../dataset/train/G/G2858.jpg,6.0
../dataset/train/G/G2578.jpg,6.0
../dataset/train/G/G1130.jpg,6.0
../dataset/train/G/G120.jpg,6.0
../dataset/train/G/G1094.jpg,6.0
../dataset/train/G/G1029.jpg,6.0
../dataset/train/G/G114.jpg,6.0
../dataset/train/G/G2456.jpg,6.0
../dataset/train/G/G508.jpg,6.0
../dataset/train/G/G1655.jpg,6.0
../dataset/train/G/G1406.jpg,6.0
../dataset/train/G/G1047.jpg,6.0
../dataset/train/G/G1878.jpg,6.0
../dataset/train/G/G2974.jpg,6.0
../dataset/train/G/G511.jpg,6.0
../dataset/train/G/G2389.jpg,6.0
../dataset/train/G/G2011.jpg,6.0
../dataset/train/G/G876.jpg,6.0
../dataset/train/G/G651.jpg,6.0
../dataset/train/G/G1448.jpg,6.0
../dataset/train/G/G1042.jpg,6.0
../dataset/train/G/G1540.jpg,6.0
../dataset/train/G/G1024.jpg,6.0
../dataset/train/G/G2291.jpg,6.0
../dataset/train/G/G928.jpg,6.0
../dataset/train/G/G64.jpg,6.0
../dataset/train/G/G2783.jpg,6.0
../dataset/train/G/G1360.jpg,6.0
../dataset/train/G/G1639.jpg,6.0
../dataset/train/G/G2645.jpg,6.0
../dataset/train/G/G2561.jpg,6.0
../dataset/train/G/G1861.jpg,6.0
../dataset/train/G/G2656.jpg,6.0
../dataset/train/G/G1301.jpg,6.0
../dataset/train/G/G1975.jpg,6.0
../dataset/train/G/G423.jpg,6.0
../dataset/train/G/G2474.jpg,6.0
../dataset/train/G/G1447.jpg,6.0
../dataset/train/G/G2868.jpg,6.0
../dataset/train/G/G748.jpg,6.0
../dataset/train/G/G2524.jpg,6.0
../dataset/train/G/G737.jpg,6.0
../dataset/train/G/G1914.jpg,6.0
../dataset/train/G/G2516.jpg,6.0
../dataset/train/G/G784.jpg,6.0
../dataset/train/G/G1157.jpg,6.0
../dataset/train/G/G2216.jpg,6.0
../dataset/train/G/G2548.jpg,6.0
../dataset/train/G/G2009.jpg,6.0
../dataset/train/G/G1091.jpg,6.0
../dataset/train/G/G985.jpg,6.0
../dataset/train/G/G2564.jpg,6.0
../dataset/train/G/G797.jpg,6.0
../dataset/train/G/G946.jpg,6.0
../dataset/train/G/G783.jpg,6.0
../dataset/train/G/G2221.jpg,6.0
../dataset/train/G/G2098.jpg,6.0
../dataset/train/G/G992.jpg,6.0
../dataset/train/G/G2651.jpg,6.0
../dataset/train/G/G2966.jpg,6.0
../dataset/train/G/G1470.jpg,6.0
../dataset/train/G/G2510.jpg,6.0
../dataset/train/G/G1544.jpg,6.0
../dataset/train/G/G1178.jpg,6.0
../dataset/train/G/G2078.jpg,6.0
../dataset/train/G/G248.jpg,6.0
../dataset/train/G/G2142.jpg,6.0
../dataset/train/G/G1490.jpg,6.0
../dataset/train/G/G1278.jpg,6.0
../dataset/train/G/G1991.jpg,6.0
../dataset/train/G/G2056.jpg,6.0
../dataset/train/G/G216.jpg,6.0
../dataset/train/G/G881.jpg,6.0
../dataset/train/G/G2234.jpg,6.0
../dataset/train/G/G517.jpg,6.0
../dataset/train/G/G2975.jpg,6.0
../dataset/train/G/G197.jpg,6.0
../dataset/train/G/G653.jpg,6.0
../dataset/train/G/G2449.jpg,6.0
../dataset/train/G/G1735.jpg,6.0
../dataset/train/G/G2130.jpg,6.0
../dataset/train/G/G1102.jpg,6.0
../dataset/train/G/G462.jpg,6.0
../dataset/train/G/G2253.jpg,6.0
../dataset/train/G/G1723.jpg,6.0
../dataset/train/G/G1168.jpg,6.0
../dataset/train/G/G1451.jpg,6.0
../dataset/train/G/G2061.jpg,6.0
../dataset/train/G/G2813.jpg,6.0
../dataset/train/G/G896.jpg,6.0
../dataset/train/G/G1474.jpg,6.0
../dataset/train/G/G2152.jpg,6.0
../dataset/train/G/G1785.jpg,6.0
../dataset/train/G/G1127.jpg,6.0
../dataset/train/G/G935.jpg,6.0
../dataset/train/G/G592.jpg,6.0
../dataset/train/G/G1061.jpg,6.0
../dataset/train/G/G2888.jpg,6.0
../dataset/train/G/G1080.jpg,6.0
../dataset/train/G/G70.jpg,6.0
../dataset/train/G/G1153.jpg,6.0
../dataset/train/G/G1850.jpg,6.0
../dataset/train/G/G2413.jpg,6.0
../dataset/train/G/G2780.jpg,6.0
../dataset/train/G/G1739.jpg,6.0
../dataset/train/G/G1774.jpg,6.0
../dataset/train/G/G1570.jpg,6.0
../dataset/train/G/G869.jpg,6.0
../dataset/train/G/G177.jpg,6.0
../dataset/train/G/G1460.jpg,6.0
../dataset/train/G/G1583.jpg,6.0
../dataset/train/G/G2175.jpg,6.0
../dataset/train/G/G362.jpg,6.0
../dataset/train/G/G2837.jpg,6.0
../dataset/train/G/G1006.jpg,6.0
../dataset/train/G/G2437.jpg,6.0
../dataset/train/G/G2774.jpg,6.0
../dataset/train/G/G72.jpg,6.0
../dataset/train/G/G2050.jpg,6.0
../dataset/train/G/G2920.jpg,6.0
../dataset/train/G/G907.jpg,6.0
../dataset/train/G/G14.jpg,6.0
../dataset/train/G/G1229.jpg,6.0
../dataset/train/G/G2988.jpg,6.0
../dataset/train/G/G1956.jpg,6.0
../dataset/train/G/G2531.jpg,6.0
../dataset/train/G/G2943.jpg,6.0
../dataset/train/G/G1747.jpg,6.0
../dataset/train/G/G1838.jpg,6.0
../dataset/train/G/G119.jpg,6.0
../dataset/train/G/G271.jpg,6.0
../dataset/train/G/G1939.jpg,6.0
../dataset/train/G/G844.jpg,6.0
../dataset/train/G/G1046.jpg,6.0
../dataset/train/G/G752.jpg,6.0
../dataset/train/G/G2798.jpg,6.0
../dataset/train/G/G2272.jpg,6.0
../dataset/train/G/G2042.jpg,6.0
../dataset/train/G/G2969.jpg,6.0
../dataset/train/G/G2097.jpg,6.0
../dataset/train/G/G499.jpg,6.0
../dataset/train/G/G2227.jpg,6.0
